CountryCode,SeriesCode,Year,Description
UGA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MWI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
NIC,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
NER,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MRT,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MOZ,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
RWA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
SEN,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
SLE,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
CAF,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
CIV,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
CMR,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
COM,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
COG,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
ETH,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GHA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GIN,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BOL,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BEN,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BFA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
AFG,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BDI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
LAO,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GUY,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
HND,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
HTI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GMB,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GNB,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MLI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
LBR,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
ZMB,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
NGA,DT.DOD.DECT.CD,YR1992,Data for 1992 are World Bank staff estimates.
NGA,DT.DOD.DECT.CD,YR1993,Data for 1993 are World Bank staff estimates.
NGA,DT.DOD.DECT.CD,YR1994,Data for 1994 are World Bank staff estimates.
NGA,DT.DOD.DECT.CD,YR1995,Data for 1995 are World Bank staff estimates.
NGA,DT.DOD.DECT.CD,YR1996,Data for 1996 are World Bank staff estimates.
NGA,DT.DOD.DECT.CD,YR1997,Data for 1997 are World Bank staff estimates.
NGA,DT.DOD.DECT.CD,YR1998,Data for 1998 are World Bank staff estimates.
PER,DT.AMT.DLXF.CD,YR2007,Data for 2007 include bond prepayments and prepayments to Paris Club creditors.
PER,DT.DOD.DECT.CD,YR2007,Data include Bond prepayment and prepayment to Paris Club creditors.
PER,DT.INT.PBND.CD,YR2007,Data include Bond prepayments.
PER,DT.AMT.PBND.CD,YR2007,Data include Bond prepayments.
PER,DT.TDS.PBND.CD,YR2007,Data include Bond prepayments.
PER,DT.AMT.BLAT.CD,YR2007,Data include prepayments to Paris Club creditors.
PER,DT.TDS.BLAT.CD,YR2007,Data include prepayments to Paris Club creditors.
PER,DT.INT.BLAT.CD,YR2007,Data include prepayments to Paris Club creditors.
GHA,DT.DOD.DECT.CD,YR2005,Data include the effects of a Paris Club debt restructuring agreement.
HND,DT.DOD.DECT.CD,YR2005,Data include the effects of a Paris Club debt restructuring agreement.
IDN,DT.DOD.DECT.CD,YR2005,Data include the effects of a Tsunami-related Paris Club debt restructuring agreement.
ARG,DT.DOD.DECT.CD,YR2005,Data include the effects of Bond restructuring in June 2005.
COG,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative and London Club debt restructuring agreement.
COG,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative and Paris Club debt restructuring agreement.
GIN,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative and Paris Club debt restructuring agreement.
CAF,DT.DOD.DECT.CD,YR2007,"Data include the effects of Enhanced HIPC Initiative, and Paris Club debt restructuring agreement."
CAF,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
CAF,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
CAF,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
COG,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
COG,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
COG,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
COG,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
COM,DT.DOD.DECT.CD,YR2010,Data include the effects of Enhanced HIPC Initiative.  
AFG,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
AFG,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
AFG,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
AFG,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
AFG,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
AFG,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
BDI,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
BDI,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
BDI,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
BDI,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
HTI,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
HTI,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
HTI,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
HTI,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
GIN,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
GIN,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
GIN,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
GNB,DT.DOD.DECT.CD,YR2010,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
MWI,DT.DOD.DECT.CD,YR2010,Data include the effects of Enhanced HIPC Initiative.  
STP,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
STP,DT.DOD.DECT.CD,YR2010,Data include the effects of Enhanced HIPC Initiative.  
TCD,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
TCD,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
STP,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
ARG,DT.DOD.PBND.CD,YR2005,Data include the effects of June 2005 bond restructuring.
SLE,DT.DOD.DECT.CD,YR2007,Data include the effects of MDRI and HIPC debt relief and Paris Club debt restructuring agreement.
BDI,DT.DOD.DECT.CD,YR2009,"Data include the effects of MDRI and HIPC debt relief, and Paris Club debt restructuring agreement."
HTI,DT.DOD.DECT.CD,YR2009,"Data include the effects of MDRI and HIPC debt relief, and Paris Club debt restructuring agreement."
CAF,DT.DOD.DECT.CD,YR2009,"Data include the effects of MDRI and HIPC debt relief, and Paris Club debt restructuring agreements."
CAF,DT.DFR.DPPG.CD,YR2009,Data include the effects of MDRI and HIPC debt relief. 
COG,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI and HIPC debt relief. 
BDI,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI and HIPC debt relief. 
BDI,DT.DFR.DPPG.CD,YR2009,Data include the effects of MDRI and HIPC debt relief. 
AFG,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI and HIPC debt relief. 
HTI,DT.DFR.DPPG.CD,YR2009,Data include the effects of MDRI and HIPC debt relief. 
GMB,DT.DFR.DPPG.CD,YR2008,Data include the effects of MDRI and HIPC debt relief. 
GMB,DT.DOD.DECT.CD,YR2008,Data include the effects of MDRI and HIPC debt relief. 
SLE,DT.DFR.DPPG.CD,YR2007,Data include the effects of MDRI and HIPC debt relief. 
STP,DT.DOD.DECT.CD,YR2007,Data include the effects of MDRI and HIPC debt relief. 
STP,DT.DOD.DECT.CD,YR2008,Data include the effects of MDRI and HIPC debt relief. 
STP,DT.DFR.DPPG.CD,YR2007,Data include the effects of MDRI and HIPC debt relief. 
STP,DT.DFR.DPPG.CD,YR2008,Data include the effects of MDRI and HIPC debt relief. 
ZAR,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI and HIPC debt relief. 
MWI,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI and Paris Club debt restructuring agreement.
CMR,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI and the Paris Club debt restructuring agreements.
CMR,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
BOL,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
BOL,DT.DFR.DPPG.CD,YR2007,Data include the effects of MDRI.  
BOL,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
BOL,DT.DOD.DECT.CD,YR2007,Data include the effects of MDRI.  
GHA,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
ETH,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
ETH,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
BEN,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
BEN,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
BFA,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
BFA,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
GUY,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
GUY,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
HND,DT.DFR.DPPG.CD,YR2007,Data include the effects of MDRI.  
HND,DT.DOD.DECT.CD,YR2007,Data include the effects of MDRI.  
HTI,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI.  
GHA,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
KHM,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
KHM,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
LBR,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI.  
MDG,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
MDG,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
MLI,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
MLI,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
MOZ,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
MOZ,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
MRT,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
MRT,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
NER,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
NER,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
SEN,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
SEN,DT.DFR.DPPG.CD,YR2007,Data include the effects of MDRI.  
SEN,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
SEN,DT.DOD.DECT.CD,YR2007,Data include the effects of MDRI.  
MWI,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
NIC,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
NIC,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
RWA,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
RWA,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
TJK,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
TJK,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
TZA,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
TZA,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
ZMB,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
ZMB,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
UGA,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
UGA,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
GAB,DT.DOD.DECT.CD,YR2007,Data include the effects of Paris Club debt buyback agreement.
DJI,DT.DOD.DECT.CD,YR2008,Data include the effects of Paris Club debt restructuring agreement.
DOM,DT.DOD.DECT.CD,YR2005,Data include the effects of Paris Club debt restructuring agreement.
GRD,DT.DOD.DECT.CD,YR2006,Data include the effects of Paris Club debt restructuring agreement.
HTI,DT.DOD.DECT.CD,YR2006,Data include the effects of Paris Club debt restructuring agreement.
TGO,DT.DOD.DECT.CD,YR2008,Data include the effects of Paris Club debt restructuring agreement.
TGO,DT.DOD.DECT.CD,YR2009,Data include the effects of Paris Club debt restructuring agreement.
SYC,DT.DOD.DECT.CD,YR2009,Data include the effects of Paris Club debt restructuring agreement.
NGA,DT.DOD.DECT.CD,YR2005,Data include the effects of Paris Club debt restructuring agreement.
CIV,DT.DOD.DECT.CD,YR2009,Data include the effects of Paris Club debt restructuring agreements.
LBR,DT.DOD.DECT.CD,YR2008,Data include the effects of Paris Club rescheduling agreement.
AFG,DT.DOD.DECT.CD,YR2006,Data include the effects of the 2006 Paris Club rescheduling.
MKD,DT.DOD.DECT.CD,YR1993,Debt outstanding as of end-1993 reflects only loans used directly by Macedonian beneficiaries.
MLI,BM.GSR.TOTL.CD,YR2012,Gap-filled with countries' balance of payments statistics.
MLI,BN.CAB.XOKA.CD,YR2011,Gap-filled with countries' balance of payments statistics.
MLI,BX.GSR.TOTL.CD,YR2012,Gap-filled with countries' balance of payments statistics.
KEN,BN.CAB.XOKA.CD,YR2013,Gap-filled with countries' balance of payments statistics.
KEN,BX.GSR.TOTL.CD,YR2013,Gap-filled with countries' balance of payments statistics.
MDG,BM.GSR.TOTL.CD,YR2006,Gap-filled with countries' balance of payments statistics.
MDG,BM.GSR.TOTL.CD,YR2007,Gap-filled with countries' balance of payments statistics.
MDG,BM.GSR.TOTL.CD,YR2008,Gap-filled with countries' balance of payments statistics.
MDG,BM.GSR.TOTL.CD,YR2009,Gap-filled with countries' balance of payments statistics.
MDG,BM.GSR.TOTL.CD,YR2010,Gap-filled with countries' balance of payments statistics.
MDG,BM.GSR.TOTL.CD,YR2011,Gap-filled with countries' balance of payments statistics.
MDG,BN.CAB.XOKA.CD,YR2006,Gap-filled with countries' balance of payments statistics.
MDG,BN.CAB.XOKA.CD,YR2007,Gap-filled with countries' balance of payments statistics.
MDG,BN.CAB.XOKA.CD,YR2008,Gap-filled with countries' balance of payments statistics.
MDG,BN.CAB.XOKA.CD,YR2009,Gap-filled with countries' balance of payments statistics.
MDG,BN.CAB.XOKA.CD,YR2010,Gap-filled with countries' balance of payments statistics.
MDG,BN.CAB.XOKA.CD,YR2011,Gap-filled with countries' balance of payments statistics.
MDG,BX.GSR.TOTL.CD,YR2006,Gap-filled with countries' balance of payments statistics.
MDG,BX.GSR.TOTL.CD,YR2007,Gap-filled with countries' balance of payments statistics.
MDG,BX.GSR.TOTL.CD,YR2008,Gap-filled with countries' balance of payments statistics.
MDG,BX.GSR.TOTL.CD,YR2009,Gap-filled with countries' balance of payments statistics.
MDG,BX.GSR.TOTL.CD,YR2010,Gap-filled with countries' balance of payments statistics.
MDG,BX.GSR.TOTL.CD,YR2011,Gap-filled with countries' balance of payments statistics.
IDN,BN.CAB.XOKA.CD,YR2013,Gap-filled with countries' balance of payments statistics.
IDN,BX.GSR.TOTL.CD,YR2013,Gap-filled with countries' balance of payments statistics.
IDN,BX.PEF.TOTL.CD.DT,YR2013,Gap-filled with countries' balance of payments statistics.
IDN,BX.TRF.PWKR.CD.DT,YR2013,Gap-filled with countries' balance of payments statistics.
GNB,BN.CAB.XOKA.CD,YR2011,Gap-filled with countries' balance of payments statistics.
GNB,BN.CAB.XOKA.CD,YR2012,Gap-filled with countries' balance of payments statistics.
GNB,BX.GSR.TOTL.CD,YR2011,Gap-filled with countries' balance of payments statistics.
GNB,BX.GSR.TOTL.CD,YR2012,Gap-filled with countries' balance of payments statistics.
LBR,BN.CAB.XOKA.CD,YR2012,Gap-filled with countries' balance of payments statistics.
BEN,BN.CAB.XOKA.CD,YR2012,Gap-filled with countries' balance of payments statistics.
BFA,BX.PEF.TOTL.CD.DT,YR2011,Gap-filled with countries' balance of payments statistics.
BFA,BX.PEF.TOTL.CD.DT,YR2012,Gap-filled with countries' balance of payments statistics.
BOL,BN.CAB.XOKA.CD,YR2013,Gap-filled with countries' balance of payments statistics.
CAF,BN.CAB.XOKA.CD,YR2005,Gap-filled with countries' balance of payments statistics.
CAF,BN.CAB.XOKA.CD,YR2006,Gap-filled with countries' balance of payments statistics.
CAF,BN.CAB.XOKA.CD,YR2007,Gap-filled with countries' balance of payments statistics.
CAF,BN.CAB.XOKA.CD,YR2008,Gap-filled with countries' balance of payments statistics.
