Country,"Requests for User Data","User Accounts Referenced","Percentage of requests where some data produced","Content Restrictions"
丹麥,15,17,40.00%,0
亞美尼亞,4,6,25.00%,0
以色列,111,144,51.35%,15
俄羅斯,0,0,0%,29
保加利亞,3,4,100.00%,0
克羅埃西亞,19,24,78.95%,0
冰島,2,2,50.00%,0
列支敦斯登,1,1,0%,0
加拿大,263,388,53.99%,0
匈牙利,57,78,33.33%,0
南非,2,1,0%,0
南韓,13,14,23.08%,0
卡達,2,2,0%,0
印度,"4,559","5,958",50.87%,4960
厄瓜多,1,3,0%,0
台灣,252,417,57.14%,0
哥倫比亞,52,64,38.46%,0
哥斯大黎加,3,6,0%,0
喬治亞,1,1,0%,0
土耳其,153,249,60.78%,1893
埃及,5,6,20.00%,0
塞內加爾,1,1,0%,0
墨西哥,170,267,50.59%,0
多明尼加共和國,11,13,27.27%,0
奧地利,63,84,17.46%,15
孟加拉,7,17,0%,0
尼泊爾,2,2,0%,0
巴勒斯坦,1,1,0%,0
巴基斯坦,116,160,35.34%,1773
巴拉圭,1,1,0%,0
巴林,1,1,0%,0
巴西,"1,307","2,269",35.20%,0
希臘,128,167,56.25%,0
德國,"2,537","3,078",33.94%,34
意大利,"1,869","2,658",49.28%,3
愛沙尼亞,7,7,42.86%,0
愛爾蘭,54,50,61.11%,0
挪威,25,50,40.00%,0
捷克共和國,11,12,27.27%,0
摩爾多瓦,3,4,100.00%,0
摩納哥,1,2,100.00%,0
新加坡,129,139,75.97%,0
日本,2,2,0%,0
智利,307,435,50.49%,0
格陵蘭,3,3,0%,0
比利時,209,246,56.94%,0
汶萊,1,1,0%,0
沙烏地阿拉伯,0,0,0%,7
法國,"2,249","2,599",30.24%,22
波士尼亞與赫塞哥維納,6,6,66.67%,0
波札那,1,2,0%,0
波蘭,288,377,27.08%,0
泰國,1,1,0%,5
澳大利亞,610,650,60.33%,7
瑞典,247,334,80.57%,0
瑞士,32,62,25.00%,0
瓜地馬拉,1,1,0%,0
盧森堡,4,5,25.00%,0
科威特,4,9,0%,1
科索沃,9,25,44.44%,0
秘魯,12,24,16.67%,0
立陶宛,8,9,37.50%,0
紐西蘭,72,81,54.17%,0
羅馬尼亞,16,20,50.00%,0
美國,"15,433","23,667",80.15%,0
芬蘭,28,32,42.86%,0
英國,"2,110","2,619",71.68%,9
荷蘭,41,45,56.10%,0
菲律賓,6,28,83.33%,0
葡萄牙,354,403,40.40%,0
蒙特內哥羅,2,2,0%,0
蘇丹,1,1,0%,0
西班牙,514,860,36.58%,0
賽普勒斯,13,16,69.23%,0
阿富汗,1,1,0%,0
阿拉伯聯合大公國,6,6,0%,1
阿曼,1,1,0%,0
阿根廷,254,364,31.89%,0
阿爾巴尼亞,4,6,75.00%,0
香港,20,38,60.00%,0
馬來西亞,19,24,26.32%,0
馬其頓,10,12,40.00%,0
馬爾他,85,94,62.35%,0
