Country,"Requests for User Data","User Accounts Referenced","Percentage of requests where some data produced","Content Restrictions"
"Ivory Coast",1,1,100.00%,0
不丹,1,1,0%,0
丹麥,12,11,33.33%,0
亞美尼亞,1,1,0%,0
以色列,129,140,51.16%,113
俄羅斯,1,1,0%,4
保加利亞,2,2,50.00%,0
克羅埃西亞,7,14,42.86%,0
加拿大,174,217,50.00%,0
匈牙利,38,51,28.95%,0
南非,3,4,0%,0
南韓,1,1,0%,0
卡達,3,5,0%,0
印度,"3,598","4,711",53.56%,4765
厄瓜多,2,1,0%,0
台灣,193,266,71.50%,0
哈薩克,2,2,0%,0
哥倫比亞,21,27,19.05%,0
哥斯大黎加,9,14,11.11%,0
喬治亞,3,3,33.33%,0
土耳其,129,353,56.59%,2014
埃及,6,6,0%,0
塞爾維亞,1,2,100.00%,0
墨西哥,125,212,53.60%,0
奧地利,28,32,14.29%,78
孟加拉,,,,3
尼泊爾,2,3,0%,0
巴勒斯坦,4,4,0%,0
巴基斯坦,126,163,47.62%,162
巴林,1,1,0%,0
巴西,"1,165","1,651",33.82%,0
希臘,115,148,50.43%,0
德國,"1,687","1,950",37.88%,84
意大利,"1,699","2,613",52.50%,5
愛沙尼亞,6,7,33.33%,0
愛爾蘭,35,36,62.86%,0
挪威,15,14,13.33%,0
捷克共和國,14,19,78.57%,0
斯洛維尼亞,3,3,66.67%,0
斯里蘭卡,1,3,0%,0
新加坡,141,142,70.92%,0
智利,230,334,64.35%,0
柬埔寨,1,1,0%,0
格陵蘭,2,2,0%,0
比利時,154,196,64.94%,0
法國,"1,661","1,845",33.90%,80
波士尼亞與赫塞哥維納,4,5,50.00%,0
波札那,1,1,0%,0
波蘭,220,192,15.45%,0
泰國,2,2,0%,0
澳大利亞,603,640,65.51%,48
澳門,1,1,0%,0
烏干達,1,1,0%,0
烏拉圭,1,1,0%,0
瑞典,89,109,52.81%,0
瑞士,34,43,17.65%,0
盧森堡,2,5,0%,0
科威特,4,3,0%,0
科索沃,1,2,100.00%,0
秘魯,2,5,0%,0
立陶宛,9,10,44.44%,0
紐西蘭,80,104,70.00%,0
羅馬尼亞,11,20,45.45%,0
美國,"12,598","18,715",81.02%,0
芬蘭,11,12,63.64%,0
英國,"1,906","2,277",71.30%,3
荷蘭,23,28,36.36%,0
菲律賓,4,7,50.00%,0
葡萄牙,148,175,25.00%,0
蘇丹,4,4,0%,0
西班牙,404,811,39.60%,0
賽普勒斯,3,3,100.00%,0
阿拉伯聯合大公國,2,2,0%,12
阿曼,3,3,0%,0
阿根廷,278,414,18.35%,0
阿爾巴尼亞,6,9,83.33%,0
香港,25,326,88.00%,0
馬來西亞,16,24,18.75%,0
馬其頓,6,14,83.33%,0
馬爾他,81,127,61.73%,0
黎巴嫩,12,12,0%,0
