Country,"Requests for User Data","User Accounts Referenced","Percentage of requests where some data produced"
"Ivory Coast",4,4,0%
丹麥,11,11,55.00%
以色列,113,132,50.00%
俄羅斯,1,1,0%
保加利亞,1,1,0%
克羅埃西亞,2,2,0%
冰島,1,1,100.00%
加拿大,192,219,44.00%
匈牙利,25,24,36.00%
南非,14,9,0%
南韓,7,15,14.00%
卡達,3,3,0%
印度,"3,245","4,144",50.00%
厄瓜多,2,3,0%
台灣,229,329,84.00%
哥倫比亞,27,41,15.00%
哥斯大黎加,4,6,0%
土耳其,96,170,47.00%
埃及,8,11,0%
塞爾維亞,1,1,0%
墨西哥,78,127,37.00%
奧地利,35,41,17.00%
孟加拉,1,12,0%
尼泊爾,3,3,33.00%
巴基斯坦,35,47,77.00%
巴拿馬,2,2,0%
巴西,715,857,33.00%
巴貝多,3,3,0%
希臘,122,141,54.00%
德國,"1,886","2,068",37.00%
意大利,"1,705","2,306",53.00%
愛爾蘭,34,40,71.00%
挪威,16,16,31.00%
捷克共和國,10,13,60.00%
斯洛維尼亞,6,8,50.00%
新加坡,107,117,70.00%
日本,1,1,0%
智利,215,340,68.00%
柬埔寨,1,1,0%
比利時,150,169,70.00%
法國,"1,547","1,598",39.00%
波士尼亞與赫塞哥維納,4,11,25.00%
波札那,3,7,0%
波蘭,233,158,9.00%
泰國,2,5,0%
澳大利亞,546,601,64.00%
烏干達,1,1,0%
瑞典,54,66,54.00%
瑞士,32,36,13.00%
科索沃,2,11,0%
秘魯,13,14,15.00%
立陶宛,6,7,17.00%
紐西蘭,106,119,58.00%
羅馬尼亞,16,36,63.00%
美國,"11,000 - 12,000","20,000 - 21,000",79.00%
芬蘭,12,15,75.00%
英國,"1,975","2,337",68.00%
荷蘭,11,15,36.00%
菲律賓,4,4,25.00%
葡萄牙,177,213,42.00%
蒙古,2,2,0%
蒙特內哥羅,2,2,0%
薩爾瓦多,2,2,0%
西班牙,479,715,51.00%
賽普勒斯,3,4,33.00%
阿根廷,152,218,27.00%
阿爾巴尼亞,6,12,83.00%
香港,1,1,100.00%
馬來西亞,7,197,0%
馬其頓,9,11,33.00%
馬爾他,89,97,60.00%
